player_name,posicion,equipo,marketValue,pred_var_1d,pred_pct_1d,pred_mv_mañana,mv_real_9feb,var_real_api,var_real,var_real_pct,error_abs,error_pct,error_con_signo,pred_sube,real_sube,acierto_direccion
Peque,4,Sevilla Fútbol Club SAD,598223.0,448.0448,0.07,598671.0447998047,598223.0,2198.0,0.0,0.0,448.0447998046875,0.07,448.0447998046875,True,True,True
David López,2,Real Club Deportivo Mallorca SAD,595427.0,384.79462,0.06,595811.7946166992,595427.0,2315.0,0.0,0.0,384.79461669921875,0.06,384.79461669921875,True,True,True
David López,2,Real Club Deportivo Mallorca SAD,595427.0,384.79462,0.06,595811.7946166992,607128.0,1827.0,11701.0,1.97,11316.205383300781,1.86,-11316.205383300781,True,True,True
Javi Galán,2,Club Atlético Osasuna,2894033.0,-88.57747,-0.0,2893944.422531128,2894033.0,7407.0,0.0,0.0,88.57746887207031,0.0,-88.57746887207031,False,True,False
Fran Beltrán,3,Girona Fútbol Club SAD,626666.0,-332.2944,-0.05,626333.7055969238,626666.0,1013.0,0.0,0.0,332.2944030761719,0.05,-332.2944030761719,False,True,False
Mario Martín,3,Getafe Club de Fútbol SAD,637180.0,-332.2944,-0.05,636847.7055969238,637180.0,575.0,0.0,0.0,332.2944030761719,0.05,-332.2944030761719,False,True,False
Fran García,2,Real Madrid Club de Fútbol,621714.0,-332.2944,-0.05,621381.7055969238,621714.0,1219.0,0.0,0.0,332.2944030761719,0.05,-332.2944030761719,False,True,False
Kike García,4,RCD Espanyol de Barcelona,630072.0,-332.2944,-0.05,629739.7055969238,630072.0,871.0,0.0,0.0,332.2944030761719,0.05,-332.2944030761719,False,True,False
Christensen,2,Fútbol Club Barcelona,644462.0,-1036.6824,-0.16,643425.3176269531,644462.0,272.0,0.0,0.0,1036.682373046875,0.16,-1036.682373046875,False,True,False
Pol Lozano,3,RCD Espanyol de Barcelona,640060.0,-1036.6824,-0.16,639023.3176269531,640060.0,455.0,0.0,0.0,1036.682373046875,0.16,-1036.682373046875,False,True,False
Nelson Deossa,3,Real Betis Balompié SAD,640098.0,-1036.6824,-0.16,639061.3176269531,640098.0,454.0,0.0,0.0,1036.682373046875,0.16,-1036.682373046875,False,True,False
Urko,3,RCD Espanyol de Barcelona,646959.0,-1036.6824,-0.16,645922.3176269531,646959.0,168.0,0.0,0.0,1036.682373046875,0.16,-1036.682373046875,False,True,False
