id,name,position,team_id,market_value,market_variation,date,points,jornada,season
133609,Pedri,3.0,529,153322922.0,2172703.0,2026-01-01,,,
136117,Riquelme,3.0,543,3203539.0,-69628.0,2026-01-01,2.0,17.0,2025.0
138776,L. Ramazani,4.0,532,651377.0,231.0,2026-01-01,2.0,17.0,2025.0
139001,Ibáñez,3.0,542,1079443.0,-8789.0,2026-01-01,4.0,17.0,2025.0
146751,Raúl,4.0,727,572052.0,3537.0,2026-01-01,7.0,17.0,2025.0
152955,L. Bergström,1.0,798,581352.0,3149.0,2026-01-01,0.0,17.0,2025.0
156488,Cárdenas,1.0,728,551653.0,4387.0,2026-01-01,0.0,17.0,2025.0
157146,L. Pétrot,2.0,797,554480.0,4269.0,2026-01-01,2.0,17.0,2025.0
157988,Carreira,2.0,538,1456725.0,14692.0,2026-01-01,8.0,17.0,2025.0
161670,V. Vanat,4.0,547,2506676.0,-46813.0,2026-01-01,1.0,17.0,2025.0
161928,Álex Balde,2.0,529,40484229.0,453095.0,2026-01-01,9.0,17.0,2025.0
161963,Germán Valera,4.0,797,35958256.0,983424.0,2026-01-01,12.0,17.0,2025.0
